Tanggal,Ticker,Katalis
2026-05-25,BRIS.JK,Laba
2026-05-25,SOFA.JK,Proyek
2026-05-25,INTP.JK,Dividen
2026-05-25,NCKL.JK,Buyback
2026-05-25,DSSA.JK,Indeks
2026-05-25,DAAZ.JK,Indeks
2026-05-25,HILL.JK,Indeks
2026-05-25,MLIA.JK,Indeks
2026-05-25,ISSP.JK,Buyback
2026-05-22,AADI.JK,Dividen
2026-05-22,PGAS.JK,Dividen
2026-05-22,SCMA.JK,Dividen
2026-05-22,BWPT.JK,Laba
2026-05-22,KREN.JK,Buyback
2026-05-21,TLKM.JK,Rups
2026-05-21,HMSP.JK,"Dividen, Pendapatan"
2026-05-21,BBTN.JK,Laba
2026-05-21,RMKE.JK,Stock split
2026-05-21,CPIN.JK,"Dividen, Pendapatan"
2026-05-21,SSIA.JK,Pendapatan
2026-05-21,AMRT.JK,Pendapatan
2026-05-21,ENRG.JK,Pendapatan
2026-05-21,RAJA.JK,Pendapatan
2026-05-21,FILM.JK,Pendapatan
2026-05-21,MEDC.JK,Pendapatan
2026-05-21,JSMR.JK,Dividen
2026-05-21,NISP.JK,Akuisisi
2026-05-21,PTPP.JK,Kontrak
2026-05-21,GEMS.JK,Dividen
2026-05-20,SMGR.JK,"Penjualan, Volume"
2026-05-20,BFIN.JK,Dividen
2026-05-20,CBDK.JK,Buyback
2026-05-20,SRTG.JK,Dividen
2026-05-20,TPMA.JK,Dividen
2026-05-20,GOTO.JK,Tarif
2026-05-19,BTPN.JK,"Buyback, Merger"
2026-05-19,MAHA.JK,Buyback
2026-05-19,DOID.JK,Buyback
2026-05-19,IFSH.JK,"Akuisisi, Ekspansi"
2026-05-18,ASII.JK,Akuisisi
2026-05-13,BIPI.JK,Proyek
2026-05-13,ELSA.JK,"Laba, Pendapatan"
2026-05-12,ITMG.JK,Laba
2026-05-12,POWR.JK,Dividen
2026-05-12,MARK.JK,"Dividen, Laba"
2026-05-12,BREN.JK,Indeks
